POLICYHOLDER_LOCATOR,QUOTE_LOCATOR,POLICY_LOCATOR,STATE,ISSUED_TIMESTAMP,Issued Flag,Main Policy Locator Flag,CREATED_TIMESTAMP,POLICY_START_TIMESTAMP,POLICY_END_TIMESTAMP,DATE_OF_BIRTH,INSURANCE_SCORE,AGENCY_ID,AGENT_ID,PRIOR_INSURANCE,PRIOR_CARRIER_NAME,PRIOR_POLICY_EXPIRATION_DATE,APPLICATION_INTIATION,POLICY_PREMIUM
9ea95f22-b012-4a66-8c1f-c71345b6676a,106337102,106337032,draft,[NULL],0,0,12/20/23 13:12,1/2/24 0:00,1/2/25 0:00,11/17/1963,998,11,57,"Yes, I am thinking about switching carriers",Not Listed,[NULL],Independent Agent,1964
9ea95f22-b012-4a66-8c1f-c71345b6676a,106336968,106337032,draft,[NULL],0,0,12/20/23 13:12,1/2/24 0:00,1/2/25 0:00,11/17/1963,998,11,57,"Yes, I am thinking about switching carriers",Not Listed,[NULL],Independent Agent,1921
9ea95f22-b012-4a66-8c1f-c71345b6676a,106337156,106337032,discarded,[NULL],0,0,12/20/23 13:12,1/2/24 0:00,1/2/25 0:00,11/17/1963,998,11,57,"Yes, I am thinking about switching carriers",Not Listed,[NULL],Independent Agent,1061
9ea95f22-b012-4a66-8c1f-c71345b6676a,106337486,106337032,discarded,[NULL],0,0,12/20/23 13:14,1/2/24 0:00,1/2/25 0:00,11/17/1963,998,11,57,"Yes, I am thinking about switching carriers",Not Listed,[NULL],Independent Agent,975
9ea95f22-b012-4a66-8c1f-c71345b6676a,106337566,106337032,discarded,[NULL],0,0,12/20/23 13:14,1/2/24 0:00,1/2/25 0:00,11/17/1963,998,11,57,"Yes, I am thinking about switching carriers",Not Listed,[NULL],Independent Agent,2166
9ea95f22-b012-4a66-8c1f-c71345b6676a,106339986,106337032,discarded,[NULL],0,0,12/20/23 13:39,1/2/24 0:00,1/2/25 0:00,11/17/1963,998,11,57,"Yes, I am thinking about switching carriers",Not Listed,[NULL],Independent Agent,261
9ea95f22-b012-4a66-8c1f-c71345b6676a,106339836,106337032,discarded,[NULL],0,0,12/20/23 13:40,1/2/24 0:00,1/2/25 0:00,11/17/1963,998,11,57,"Yes, I am thinking about switching carriers",Not Listed,[NULL],Independent Agent,1835
9ea95f22-b012-4a66-8c1f-c71345b6676a,106340016,106337032,discarded,[NULL],0,0,12/20/23 13:40,1/2/24 0:00,1/2/25 0:00,11/17/1963,998,11,57,"Yes, I am thinking about switching carriers",Not Listed,[NULL],Independent Agent,726
9ea95f22-b012-4a66-8c1f-c71345b6676a,106630470,106337032,draft,[NULL],0,0,1/2/24 10:52,1/2/24 0:00,1/2/25 0:00,11/17/1963,998,11,57,"Yes, I am thinking about switching carriers",Not Listed,[NULL],Independent Agent,2127
9ea95f22-b012-4a66-8c1f-c71345b6676a,106630584,106337032,draft,[NULL],0,0,1/2/24 10:52,1/2/24 0:00,1/2/25 0:00,11/17/1963,998,11,57,"Yes, I am thinking about switching carriers",Not Listed,[NULL],Independent Agent,2347
d4e4d5cd-ab00-4acc-9da8-73340e5010de,106649708,106426530,accepted,1/5/24 15:59,1,1,12/22/23 13:31,1/6/24 0:00,1/6/25 0:00,2/25/1948,778,1309,1398,"Yes, I am thinking about switching carriers",American Summit,[NULL],Independent Agent,1892
d4e4d5cd-ab00-4acc-9da8-73340e5010de,106426566,106426530,draft,[NULL],0,0,12/22/23 13:31,1/6/24 0:00,1/6/25 0:00,2/25/1948,778,1309,1398,"Yes, I am thinking about switching carriers",American Summit,[NULL],Independent Agent,953
d4e4d5cd-ab00-4acc-9da8-73340e5010de,106426336,106426530,draft,[NULL],0,0,12/22/23 13:31,1/6/24 0:00,1/6/25 0:00,2/25/1948,778,1309,1398,"Yes, I am thinking about switching carriers",American Summit,[NULL],Independent Agent,836
